Title,Price,Seller,Ratings,DeliveryOptions,ProductURL
Apple iPhone 15 Pro 128GB - Non Approved - Factory Unllock - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 199,999",Ratings 2,"(2), 15, 199, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-128gb-non-approved-factory-unllock-free-charger-daraz-like-new-phones-mobile-phones-used-phone-i453129623.html
"Apple iPhone 15 Pro Max - 6.7"" Inch Display - Physical Sim & ESim - 1 Year Official Warranty (Mercantile) - PTA Approved","Rs. 467,842",No Ratings,"1, 15, 467, 6.7, 842",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-max-67-inch-display-physical-sim-esim-1-year-official-warranty-mercantile-pta-approved-i435515012.html
Apple Iphone 15 Pro 256GB - Non Approved - Factory Unllock - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 209,999",Ratings 1,"(1), 15, 209, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-256gb-non-approved-factory-unllock-free-charger-daraz-like-new-phones-mobile-phones-used-phone-i453128967.html
"Apple iPhone 15 - 128GB - 6.1"" Inch Display - Factory Locked - Non-Approved - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phones","Rs. 239,999",Help Center,"15, 239, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-128gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-mobile-phones-used-phones-i644766705.html
Apple iPhone 15 Pro 512GB  - Non Approved - Factory Unllock - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 239,999",No Ratings,"15, 239, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-512gb-non-approved-factory-unllock-free-charger-daraz-like-new-phones-mobile-phones-used-phone-i453135307.html
"USED - Apple iPhone 15 - 128GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones (Mobile Phones) - USED Mobile Phones","Rs. 239,999",No Ratings,"15, 239, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/used-apple-iphone-15-128gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-mobile-phones-used-mobile-phones-i644757937.html
"Apple iPhone 15 Pro Max | 6.7"" Inch Display | ESim | 1 Year Official Warranty | Mercantile iPhone | PTA Approved | 256GB","Rs. 455,195",No Ratings,"1, 15, 195, 455, 6.7",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-max-67-inch-display-esim-1-year-official-warranty-mercantile-iphone-pta-approved-256gb-i853156929.html
"Apple iPhone 15 - 128GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones - Used Mobiles","Rs. 239,999",No Ratings,"15, 239, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-128gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-used-mobiles-i644794224.html
"Apple iPhone 15 - 128GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phone","Rs. 189,999",No Ratings,"15, 189, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-128gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-mobile-phones-used-phone-i453128604.html
"Apple iPhone 15 Pro - 6.1"" Inch Display - Physical Sim & ESim - PTA Approved - 1 Year Official Warranty Mercantile","Rs. 482,211",No Ratings,"1, 15, 211, 482, 6.1",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-61-inch-display-physical-sim-esim-pta-approved-1-year-official-warranty-mercantile-i435700268.html
"Apple iPhone 15 - 256GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phone","Rs. 199,999",No Ratings,"15, 199, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-256gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-mobile-phones-used-phone-i453127881.html
"Apple iphone 15 - 256GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones","Rs. 385,999",No Ratings,"15, 385, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-256gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-i461843485.html
"Apple iphone 15 - 512GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones","Rs. 395,999",No Ratings,"15, 395, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-512gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-i461842793.html
"Apple iPhone 15 - 512GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phone","Rs. 229,999",No Ratings,"15, 229, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-512gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-mobile-phones-used-phone-i453132186.html
Used - Apple iPhone 14 Pro - 128GB - PTA Approved Factory Unlocked (FREE CHARGER AND COVER) - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 249,999",Ratings 1,"(1), 14, 249, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/used-apple-iphone-14-pro-128gb-pta-approved-factory-unlocked-free-charger-and-cover-daraz-like-new-phones-mobile-phones-used-phone-i493104223.html
Apple Iphone 15 Pro 256GB - Non Approved - Factory Unllock - Free Charger - Daraz LIke New Phones,"Rs. 499,999",No Ratings,"15, 499, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-256gb-non-approved-factory-unllock-free-charger-daraz-like-new-phones-i461842962.html
"Apple iphone 15 - 128GB - 6.1"" Inch Display - Factory Locked - Non Approved - Free Charger - Daraz Like New Phones","Rs. 355,999",No Ratings,"15, 355, 6.1, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-128gb-61-inch-display-factory-locked-non-approved-free-charger-daraz-like-new-phones-i461851418.html
Apple Iphone 15 Pro 512GB - Non Approved - Factory Unllock - Free Charger - Daraz LIke New Phones,"Rs. 599,999",No Ratings,"15, 599, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/apple-iphone-15-pro-512gb-non-approved-factory-unllock-free-charger-daraz-like-new-phones-i461420399.html
USED - Apple iPhone 14 Pro - 256GB - PTA APPROVED Factory Unlocked (FREE CHARGER AND COVER) - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 265,999",No Ratings,"14, 265, 999",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/used-apple-iphone-14-pro-256gb-pta-approved-factory-unlocked-free-charger-and-cover-daraz-like-new-phones-mobile-phones-used-phone-i489928229.html
"iPhone 15 Pro max, Black Titanium  256GB, LLA Version  (E Sim + E sim), Non Active, Only Phone","Rs. 330,000",No Ratings,"000, 15, 330",Cash on Delivery,https://www.daraz.pk//www.daraz.pk/products/15-256gb-e-e-i471140211.html
