headline,url,scraped_at,source
Calls for boycott in India ahead of Asia Cup match with Pakistan,https://www.dawn.com/news/1941924/calls-for-boycott-in-india-ahead-of-asia-cup-match-with-pakistan,2025-09-14 16:09:57,dawn.com
HRCP condemns decision by elders to ‘expel’ transgender persons from KP’s Swabi district,https://www.dawn.com/news/1941923/hrcp-condemns-decision-by-elders-to-expel-transgender-persons-from-kps-swabi-district,2025-09-14 16:09:57,dawn.com
Salman Agha’s fearless aura signals new dawn for Pakistan cricket,https://www.dawn.com/news/1941847/salman-aghas-fearless-aura-signals-new-dawn-for-pakistan-cricket,2025-09-14 16:09:57,dawn.com
Veteran sports journalist Syed Muhammad Sufi passes away in Karachi,https://www.dawn.com/news/1941933/veteran-sports-journalist-syed-muhammad-sufi-passes-away-in-karachi,2025-09-14 16:09:57,dawn.com
"FM Dar discusses regional, international developments in phone call with Marco Rubio",https://www.dawn.com/news/1941905/fm-dar-discusses-regional-international-developments-in-phone-call-with-marco-rubio,2025-09-14 16:09:57,dawn.com
Supporters of slain US influencer Charlie Kirk shut down critics,https://www.dawn.com/news/1941917/supporters-of-slain-us-influencer-charlie-kirk-shut-down-critics,2025-09-14 16:09:57,dawn.com
"Inflation, changing consumer habits reshaping online food and grocery orders: foodpanda CEO",https://www.dawn.com/news/1941812,2025-09-14 16:09:57,dawn.com
"Islamabad court moves to declare Malik Riaz, his son as absconders",https://www.dawn.com/news/1941846/islamabad-court-moves-to-declare-malik-riaz-his-son-as-absconders,2025-09-14 16:09:57,dawn.com
Pakistan exude calm ahead of emotionally-charged India clash,https://www.dawn.com/news/1941881/pakistan-exude-calm-ahead-of-emotionally-charged-india-clash,2025-09-14 16:09:57,dawn.com
"New-look Pakistan, India set to rekindle old rivalry in Dubai",https://www.dawn.com/news/1941745/new-look-pakistan-india-set-to-rekindle-old-rivalry-in-dubai,2025-09-14 16:09:57,dawn.com
Gender and the fight against erasure,https://www.dawn.com/news/1941712/gender-and-the-fight-against-erasure,2025-09-14 16:09:57,dawn.com
Ugly reality for Gulf Arab states is that the US guarantees their security and rule,https://www.dawn.com/news/1941855,2025-09-14 16:09:57,dawn.com
Editorial: Arab and Muslim countries need to put up a united front to halt ethnic cleansing of Palestinians,https://www.dawn.com/news/1941852,2025-09-14 16:09:57,dawn.com
Smokers’ corner: The hybrid judiciary,https://www.dawn.com/news/1941705,2025-09-14 16:09:57,dawn.com
"In a first, local doctors in Karachi team up to perform rare heart disorder surgery",https://www.dawn.com/news/1941808/in-a-first-local-doctors-in-karachi-team-up-to-perform-rare-heart-disorder-surgery,2025-09-14 16:09:57,dawn.com
"Who is Tyler Robinson, alleged killer of Charlie Kirk?",https://www.dawn.com/news/1941821/who-is-tyler-robinson-alleged-killer-of-charlie-kirk,2025-09-14 16:09:57,dawn.com
Emotions run high as Pakistan and India face off in Asia Cup after May military conflict,https://www.dawn.com/news/1941711/emotions-run-high-as-pakistan-and-india-face-off-in-asia-cup-after-may-military-conflict,2025-09-14 16:09:57,dawn.com
‘Pure cinema’ — Gen Z can’t believe Pakistan’s UN ambassador told Israel it has no friends,https://images.dawn.com/news/1194146/pure-cinema-gen-z-cant-believe-pakistans-un-ambassador-told-israel-it-has-no-friends,2025-09-14 16:09:57,dawn.com
"Chatter around Charlie Kirk’s murder reveals the paradoxical nature of MAGA, its supporters",https://www.dawn.com/news/1941633,2025-09-14 16:09:57,dawn.com
Destroying Karachi through development,https://www.dawn.com/news/1939975,2025-09-14 16:09:57,dawn.com
HomePure Nova brings Pi-Water technology to Pakistan,https://www.dawn.com/news/1941566/homepure-nova-brings-pi-water-technology-to-pakistan,2025-09-14 16:09:57,dawn.com
‘Elevating home entertainment’: Immersive experiences with TCL and Audio by Bang & Olufsen,https://www.dawn.com/news/1941188/elevating-home-entertainment-immersive-experiences-with-tcl-and-audio-by-bang-amp-olufsen,2025-09-14 16:09:57,dawn.com
Pakistan joins global dialogue at US Soybean Export Council’s Soy Connext 2025,https://www.dawn.com/news/1940464/pakistan-joins-global-dialogue-at-us-soybean-export-councils-soy-connext-2025,2025-09-14 16:09:57,dawn.com
PM Shehbaz vows ‘full-force response’ to terrorism after 19 soldiers martyred in KP,https://www.dawn.com/news/1941692/pm-shehbaz-vows-full-force-response-to-terrorism-after-19-soldiers-martyred-in-kp,2025-09-14 16:09:57,dawn.com
Utah man suspected in Charlie Kirk murder taken into custody,https://www.dawn.com/news/1941465/utah-man-suspected-in-charlie-kirk-murder-taken-into-custody,2025-09-14 16:09:57,dawn.com
"World powers issue rare censure as Pakistan, Israel clash at Security Council",https://www.dawn.com/news/1941623/world-powers-issue-rare-censure-as-pakistan-israel-clash-at-security-council,2025-09-14 16:09:57,dawn.com
PIA halts Canada flights operations for a month,https://www.dawn.com/news/1941608/pia-halts-canada-flights-operations-for-a-month,2025-09-14 16:09:57,dawn.com
FO confirms PM Shehbaz’s participation in Arab-Islamic moot on Israeli strikes in Qatar,https://www.dawn.com/news/1941661/fo-confirms-pm-shehbazs-participation-in-arab-islamic-moot-on-israeli-strikes-in-qatar,2025-09-14 16:09:57,dawn.com
UN General Assembly votes for ‘Hamas-free’ Palestinian state,https://www.dawn.com/news/1941487/un-general-assembly-votes-for-hamas-free-palestinian-state,2025-09-14 16:09:57,dawn.com
Security at stake,https://www.dawn.com/news/1941636/security-at-stake,2025-09-14 16:09:57,dawn.com
