Index Name,LDCP,Open,High,Low,Current,Change,Change %,Volume,scraped_at,source,source_as_of
KSE100,156141.24,,156519.13,154360.35,154439.68,-1701.56,-1.09,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
KSE100PR,50006.77,,50127.8,49436.41,49461.82,-544.95,-1.09,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
ALLSHR,95433.78,,95703.85,94663.53,94668.15,-765.63,-0.8,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
KSE30,47720.53,,47804.9,47072.23,47119.9,-600.63,-1.26,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
KMI30,228800.05,,229104.78,225996.23,226125.71,-2674.34,-1.17,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
BKTI,42161.62,,42268.74,41469.12,41622.82,-538.8,-1.28,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
OGTI,31833.73,,31875.75,31435.74,31488.78,-344.95,-1.08,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
KMIALLSHR,64161.33,,64316.88,63583.52,63569.05,-592.28,-0.92,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
PSXDIV20,63731.15,,63823.77,62986.61,63060.8,-670.35,-1.05,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
UPP9,53003.77,,53050.92,52147.92,52186.13,-817.64,-1.54,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
NITPGI,39844.219999999994,,39866.41,39209.23,39252.88,-591.34,-1.48,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
NBPPGI,43210.740000000005,,43256.22,42606.86,42643.69,-567.05,-1.31,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
MZNPI,28301.86,,28343.03,27870.21,27896.74,-405.12,-1.43,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
JSMFI,40560.23,,40681.03,40012.83,40293.82,-266.41,-0.66,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
ACI,24512.86,,24654.95,24206.71,24226.96,-285.9,-1.17,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
JSGBKTI,54185.759999999995,,54302.03,53488.62,53736.09,-449.67,-0.83,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
HBLTTI (11-09-2025 18:30:00),17275.97,,,,17280.31,4.34,0.03,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
MII30,21000.09,,21029.24,20735.09,20745.84,-254.25,-1.21,,2025-09-14T03:38:14+05:00,dps.psx.com.pk/indices,"Sep 12, 2025 4:50 PM"
