Country,Universities,AvgScore
Berkeley (UCB) University of California,1,
"CUHK has been guided by its
mission to assist in the preservation",1,
Columbia University is a private Ivy League research university in Upper Manhattan,1,
Connecticut,1,
ENSTA,1,
"Fishermans
Bend",1,
Haidian District,1,
Harvard is the oldest higher education institution in the United States,1,
Hongo,1,
Imperial College London is a one-of-a-kind institution in the UK,1,
Los Angeles (UCLA) University of California,1,
Maryland,1,
Northwestern University transcends traditional academic boundaries. Our highly collaborative environment provides our diverse students and faculty with exceptional opportunities for personal and professional growth,1,
Oxford,1,
PSL inspires dialog among and between all areas of knowledge,1,
