University,Country,OverallScore,SubjectRanking,URL,Region
Massachusetts Institute of Technology (MIT),known also as MIT,,Not listed,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,Unknown
Imperial College London,Imperial College London is a one-of-a-kind institution in the UK,,Not listed,https://www.topuniversities.com/universities/imperial-college-london,Unknown
Stanford University,creativity,,Not listed,https://www.topuniversities.com/universities/stanford-university,Unknown
University of Oxford,Oxford,,Not listed,https://www.topuniversities.com/universities/university-oxford,Unknown
Harvard University,Harvard is the oldest higher education institution in the United States,,Not listed,https://www.topuniversities.com/universities/harvard-university,Unknown
University of Cambridge,both past and present,,Not listed,https://www.topuniversities.com/universities/university-cambridge,Unknown
ETH Zurich,including the great Albert Einstein himself. The university,,Not listed,https://www.topuniversities.com/universities/eth-zurich,Unknown
National University of Singapore (NUS),which offers a global approach to education and research,,Not listed,https://www.topuniversities.com/universities/national-university-singapore-nus,Unknown
UCL,"practical
skills",,Not listed,https://www.topuniversities.com/universities/ucl,Unknown
California Institute of Technology (Caltech),located in Pasadena,,Not listed,https://www.topuniversities.com/universities/california-institute-technology-caltech,Unknown
The University of Hong Kong,"pioneering innovations and
global vision",,Not listed,https://www.topuniversities.com/universities/university-hong-kong,Unknown
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore (NTU Singapore) Nanyang Technological University,,Not listed,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu-singapore,Unknown
University of Chicago,the University of Chicago is a private research university based in the urban center of Chicago,,Not listed,https://www.topuniversities.com/universities/university-chicago,Unknown
Peking University,Haidian District,,Not listed,https://www.topuniversities.com/universities/peking-university,Unknown
University of Pennsylvania,who was eager to create a school to educate future generations. Franklin advocated a concept of higher education that focused not merely on the education of the clergy,,Not listed,https://www.topuniversities.com/universities/university-pennsylvania,Unknown
Cornell University,words first uttered by its co-founder Ezra Cornell,,Not listed,https://www.topuniversities.com/universities/cornell-university,Unknown
Tsinghua University,President Theodore Roosevelt negotiated with Congress a reduction in the sum,,Not listed,https://www.topuniversities.com/universities/tsinghua-university,Unknown
"University of California, Berkeley (UCB)",Berkeley (UCB) University of California,,Not listed,https://www.topuniversities.com/universities/university-california-berkeley-ucb,Unknown
The University of Melbourne,"Fishermans
Bend",,Not listed,https://www.topuniversities.com/universities/university-melbourne,Unknown
The University of New South Wales (UNSW Sydney),UNSW is dedicated to bringing the brightest brains together and creating a better future for everyone. From public health,,Not listed,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Unknown
Yale University,Connecticut,,Not listed,https://www.topuniversities.com/universities/yale-university,Unknown
EPFL – École polytechnique fédérale de Lausanne,Switzerland,,Not listed,https://www.topuniversities.com/universities/epfl-ecole-polytechnique-federale-de-lausanne,Europe
Technical University of Munich,also known as TUM,,Not listed,https://www.topuniversities.com/universities/technical-university-munich,Unknown
Johns Hopkins University,Maryland,,Not listed,https://www.topuniversities.com/universities/johns-hopkins-university,Unknown
Princeton University,"Princeton seeks to enroll
the most talented students from a broad spectrum of cultural",,Not listed,https://www.topuniversities.com/universities/princeton-university,Unknown
The University of Sydney,we turn ambition into action,,Not listed,https://www.topuniversities.com/universities/university-sydney,Unknown
McGill University,multicultural city of Montreal,,Not listed,https://www.topuniversities.com/universities/mcgill-university,Unknown
Université PSL,PSL inspires dialog among and between all areas of knowledge,,Not listed,https://www.topuniversities.com/universities/universite-psl,Unknown
University of Toronto,discovery and knowledge creation,,Not listed,https://www.topuniversities.com/universities/university-toronto,Unknown
Fudan University,Yang Pu,,Not listed,https://www.topuniversities.com/universities/fudan-university,Unknown
King's College London,for short),,Not listed,https://www.topuniversities.com/universities/kings-college-london,Unknown
Australian National University (ANU),research and small classes,,Not listed,https://www.topuniversities.com/universities/australian-national-university-anu,Unknown
The Chinese University of Hong Kong (CUHK),"CUHK has been guided by its
mission to assist in the preservation",,Not listed,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Unknown
The University of Edinburgh,we know education will play a vital role solving those challenges and relish our shared responsibility to respond to them,,Not listed,https://www.topuniversities.com/universities/university-edinburgh,Unknown
The University of Manchester,"The
University of Manchester enjoys an international reputation for pioneering
research and innovation",,Not listed,https://www.topuniversities.com/universities/university-manchester,Unknown
Monash University,and fuelled by his desire for our students to leave here with a greater sense of purpose,,Not listed,https://www.topuniversities.com/universities/monash-university,Unknown
The University of Tokyo,Hongo,,Not listed,https://www.topuniversities.com/universities/university-tokyo,Unknown
Columbia University,Columbia University is a private Ivy League research university in Upper Manhattan,,Not listed,https://www.topuniversities.com/universities/columbia-university,Unknown
Seoul National University,SNU is now experiencing happier times than ever,,Not listed,https://www.topuniversities.com/universities/seoul-national-university,Unknown
University of British Columbia,"UBC has been opening doors of
opportunity for people with the curiosity",,Not listed,https://www.topuniversities.com/universities/university-british-columbia,Unknown
Institut Polytechnique de Paris,ENSTA,,Not listed,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,Unknown
Northwestern University,Northwestern University transcends traditional academic boundaries. Our highly collaborative environment provides our diverse students and faculty with exceptional opportunities for personal and professional growth,,Not listed,https://www.topuniversities.com/universities/northwestern-university,Unknown
The University of Queensland,UQ has educated and worked with outstanding people to deliver knowledge leadership for a better world,,Not listed,https://www.topuniversities.com/universities/university-queensland,Unknown
The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology is a world-class international research university dedicated to cutting-edge education,,Not listed,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Unknown
University of Michigan-Ann Arbor,before Michigan had even become a state,,Not listed,https://www.topuniversities.com/universities/university-michigan-ann-arbor,Unknown
"University of California, Los Angeles (UCLA)",Los Angeles (UCLA) University of California,,Not listed,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,Unknown
Delft University of Technology,TU Delft has developed a broad research portfolio that,,Not listed,https://www.topuniversities.com/universities/delft-university-technology,Unknown
Shanghai Jiao Tong University,Shanghai,,Not listed,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,Unknown
Zhejiang University,including artificial intelligence,,Not listed,https://www.topuniversities.com/universities/zhejiang-university,Unknown
Yonsei University,Seongsanno,,Not listed,https://www.topuniversities.com/universities/yonsei-university,Unknown
